pair_id,kv_boundary,kv_scope,layer_id,kv_kind,episode_id,step_id,app,hit_type,pixel_changed_ratio,kv_metric,threshold,kv_changed_ratio,kv_token_count,visual_token_grid,processor_merge_size,alignment_method,visual_position_source,input_token_count,visual_token_position_count,text_token_position_count,page_tile_unchanged_ratio,changed_region_kv_mean,unchanged_region_kv_mean,error
pair_000001,prefill_past_key_values,text_tokens,15,key,60,4,,near,0.0078125,cosine_distance,0.005,0.003537735849056604,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000001,prefill_past_key_values,visual_tokens,15,value,60,4,,near,0.0078125,cosine_distance,0.005,0.4376657824933687,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1225,377,848,0.9921875,0.024970725178718567,0.033257637043101536,
pair_000001,prefill_past_key_values,text_tokens,15,value,60,4,,near,0.0078125,cosine_distance,0.005,0.0011792452830188679,848,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1225,377,848,0.9921875,,,
pair_000002,prefill_past_key_values,visual_tokens,0,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.363395225464191,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.3612418618313102,0.027975687545216725,
pair_000002,prefill_past_key_values,text_tokens,0,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,0,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.4005305039787798,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.48570097047229144,0.03564783556018761,
pair_000002,prefill_past_key_values,text_tokens,0,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,1,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.3687002652519894,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.37577143796654633,0.02845228610638373,
pair_000002,prefill_past_key_values,text_tokens,1,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,1,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.4535809018567639,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.4909811172374459,0.04162963760827116,
pair_000002,prefill_past_key_values,text_tokens,1,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,2,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.4403183023872679,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.4068776618602664,0.03367360409148439,
pair_000002,prefill_past_key_values,text_tokens,2,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,2,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5172413793103449,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.45894539079000785,0.04504017969091496,
pair_000002,prefill_past_key_values,text_tokens,2,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,3,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5172413793103449,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.3665571573168732,0.03604955480484191,
pair_000002,prefill_past_key_values,text_tokens,3,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,3,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.6180371352785146,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.4384291172027588,0.05012759441387154,
pair_000002,prefill_past_key_values,text_tokens,3,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,4,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5225464190981433,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.34766891252162846,0.03941877337986838,
pair_000002,prefill_past_key_values,text_tokens,4,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,4,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5862068965517241,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.5240430138831915,0.05584530005911867,
pair_000002,prefill_past_key_values,text_tokens,4,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,5,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5570291777188329,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.37167447805404663,0.04633860655887398,
pair_000002,prefill_past_key_values,text_tokens,5,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,5,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.6472148541114059,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.5158982096716415,0.06479468727540114,
pair_000002,prefill_past_key_values,text_tokens,5,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,6,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5305039787798409,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.3340930938720703,0.050440100138772745,
pair_000002,prefill_past_key_values,text_tokens,6,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,6,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.610079575596817,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.396741648053014,0.06662177058037169,
pair_000002,prefill_past_key_values,text_tokens,6,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,7,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.5994694960212201,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.2684655785560608,0.05235559943907275,
pair_000002,prefill_past_key_values,text_tokens,7,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,7,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.7798408488063661,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.4629257113434548,0.09631104811936796,
pair_000002,prefill_past_key_values,text_tokens,7,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.001182033096926714,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,8,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.7453580901856764,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.24544511423554533,0.06700586576661664,
pair_000002,prefill_past_key_values,text_tokens,8,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.001182033096926714,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,8,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.8514588859416445,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.4970275191373603,0.11776292002843526,
pair_000002,prefill_past_key_values,text_tokens,8,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.0035460992907801418,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,9,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.7559681697612732,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.2547769546508789,0.07700271163871902,
pair_000002,prefill_past_key_values,text_tokens,9,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.002364066193853428,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,9,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.8567639257294429,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.5137447063312974,0.14521458298860196,
pair_000002,prefill_past_key_values,text_tokens,9,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.004728132387706856,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,10,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.7824933687002652,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.3224874818047812,0.10292409529942952,
pair_000002,prefill_past_key_values,text_tokens,10,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.002364066193853428,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,10,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.8488063660477454,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.4712733044180759,0.16704074172916528,
pair_000002,prefill_past_key_values,text_tokens,10,value,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.004728132387706856,846,"[29, 13]",2,not_spatial_scope,input_ids_image_token_id,1223,377,846,0.859375,,,
pair_000002,prefill_past_key_values,visual_tokens,11,key,341,2,,patch_candidate,0.140625,cosine_distance,0.005,0.8806366047745358,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,input_ids_image_token_id,1223,377,846,0.859375,0.2464205359303674,0.10179193076973189,
