dimension,value,kv_scope,kv_kind,layer_id,threshold,kv_metric,row_count,pixel_changed_ratio,kv_changed_ratio,correlation
app,unknown,text_tokens,key,5,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,5,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,5,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,5,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,5,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,6,0.005,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 2.347430775588924e-05, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.001176470588235294, ""std"": 0.0001643206162624802}",0.2183629899013027
app,unknown,text_tokens,key,6,0.01,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,6,0.03,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,6,0.05,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
app,unknown,text_tokens,key,6,0.1,cosine_distance,100,"{""count"": 100, ""mean"": 0.06109375, ""median"": 0.0546875, ""p90"": 0.11796874999999996, ""min"": 0.0078125, ""max"": 0.1484375, ""std"": 0.0392710060230509}","{""count"": 100, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
